T,Dp,Ep,Fp,Gp,Hp,Ip,Jp,Kp,Lp,Mp,Np,Op,Pp,Qp,Rp,Sp,Tp,Up,Vp,Wp,Xp,Yp,Zp
2,0.56,0.61,0.19,0.65,0.85,0.52,0.30,0.48,0.18,0.51,0.20,0.46,0.57,0.63,0.52,0.58,0.65,0.63,0.65,0.71,0.69,0.76,0.72
5,0.83,0.84,0.54,0.86,0.94,0.80,0.66,0.78,0.55,0.80,0.57,0.72,0.82,0.85,0.81,0.83,0.86,0.85,0.86,0.89,0.88,0.90,0.89
10,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
25,1.21,1.17,1.78,1.17,1.09,1.34,1.61,1.77,1.78,1.45,1.67,1.55,1.40,1.22,1.21,1.21,1.18,1.19,1.20,1.14,1.14,1.19,1.23
50,1.28,1.21,2.07,1.23,1.11,1.46,1.85,1.96,2.10,1.61,1.94,1.76,1.54,1.28,1.28,1.27,1.24,1.25,1.26,1.19,1.18,1.25,1.30
75,1.49,1.41,3.53,1.40,1.21,1.87,2.76,3.03,3.39,2.19,2.98,2.53,2.04,1.50,1.49,1.48,1.42,1.44,1.45,1.32,1.32,1.43,1.52
100,1.61,1.51,4.67,1.49,1.26,2.13,3.42,3.82,4.39,2.59,3.76,3.08,2.37,1.62,1.61,1.60,1.53,1.55,1.56,1.40,1.40,1.54,1.65
150,1.70,1.60,5.80,1.56,1.30,2.33,3.94,4.47,5.21,2.90,4.38,3.51,2.62,1.71,1.70,1.68,1.60,1.63,1.64,1.46,1.45,1.62,1.74
200,1.85,1.77,8.05,1.68,1.37,2.67,4.84,5.63,6.67,3.43,5.46,4.25,3.04,1.86,1.85,1.80,1.70,1.76,1.77,1.56,1.52,1.75,1.88
alpha,2.00,1.94,10.30,1.80,1.44,3.01,5.74,6.79,8.13,3.96,6.54,4.99,3.46,2.01,2.00,1.92,1.80,1.89,1.90,1.66,1.59,1.88,2.02
